SeID,Relationship,RoID
318,Part_of,18400
319,Part_of,18400
320,Part_of,17821
321,Part_of,17821
322,Part_of,18400
323,Part_of,18400
324,Part_of,18399
325,Part_of,17821
326,Part_of,18401
327,Part_of,18398
328,Part_of,12153
329,Part_of,12152
330,Part_of,12152
331,Part_of,12156
332,Part_of,12156
333,Part_of,12153
334,Part_of,12156
335,Part_of,12153
336,Part_of,12153
337,Part_of,12153
338,Part_of,12153
339,Part_of,12153
340,Part_of,12154
341,Part_of,12154
342,Part_of,12160
343,Part_of,38892
344,Part_of,38894
345,Part_of,38894
346,Part_of,12163
347,Part_of,12158
348,Part_of,39723
349,Part_of,12158
350,Part_of,12151
351,Part_of,12150
352,Part_of,12150
353,Part_of,12151
354,Part_of,12151
355,Part_of,12163
356,Part_of,12163
357,Part_of,12158
358,Part_of,12150
359,Part_of,12150
360,Part_of,12151
361,Part_of,12151
362,Part_of,12164
363,Part_of,12161
364,Part_of,12150
365,Part_of,12164
366,Part_of,12161
367,Part_of,18398
368,Part_of,18395
369,Part_of,38894
370,Part_of,38894
371,Part_of,38894
372,Part_of,38894
373,Part_of,18394
374,Part_of,38894
375,Part_of,38894
376,Part_of,28759
377,Part_of,28759
378,Part_of,28759
379,Part_of,28759
380,Part_of,28759
381,Part_of,8018
382,Part_of,18394
383,Part_of,4749
384,Part_of,8018
385,Part_of,8018
386,Part_of,8021
387,Part_of,8021
388,Part_of,38894
389,Part_of,8018
390,Part_of,8019
391,Part_of,38894
392,Part_of,8019
393,Part_of,8019
394,Part_of,8021
395,Part_of,4538
396,Part_of,8020
397,Part_of,8020
398,Part_of,4538
399,Part_of,4538
400,Part_of,4538
401,Part_of,38832
402,Part_of,8019
403,Part_of,38894
404,Part_of,4538
405,Part_of,38894
406,Part_of,28758
407,Part_of,38894
408,Part_of,38832
409,Part_of,28758
410,Part_of,38832
411,Part_of,38832
412,Part_of,28755
413,Part_of,38832
414,Part_of,38833
415,Part_of,38833
416,Part_of,38833
417,Part_of,28755
418,Part_of,38894
419,Part_of,38833
420,Part_of,38833
421,Part_of,4749
422,Part_of,4750
423,Part_of,11855
424,Part_of,11856
425,Part_of,11856
426,Part_of,38832
427,Part_of,11855
428,Part_of,11855
429,Part_of,11855
430,Part_of,39038
431,Part_of,17496
432,Part_of,17497
433,Part_of,38833
434,Part_of,17496
435,Part_of,17496
436,Part_of,38833
437,Part_of,38833
438,Part_of,38833
439,Part_of,38833
440,Part_of,6231
441,Part_of,6231
442,Part_of,6231
443,Part_of,28017
444,Part_of,38833
445,Part_of,11494
446,Part_of,38834
447,Part_of,28756
448,Part_of,28756
449,Part_of,28756
450,Part_of,28756
451,Part_of,28756
452,Part_of,38834
453,Part_of,38834
454,Part_of,38834
455,Part_of,17644
456,Part_of,41015
457,Part_of,17644
458,Part_of,41015
459,Part_of,41016
460,Part_of,41016
461,Part_of,17822
462,Part_of,17822
463,Part_of,38895
464,Part_of,38895
465,Part_of,38895
466,Part_of,38868
467,Part_of,38834
468,Part_of,38834
469,Part_of,11493
470,Part_of,38834
471,Part_of,38868
472,Part_of,38868
473,Part_of,38868
474,Part_of,11493
475,Part_of,11493
476,Part_of,11494
477,Part_of,38878
478,Part_of,38878
479,Part_of,38878
480,Part_of,38878
481,Part_of,38878
482,Part_of,38878
483,Part_of,17647
484,Part_of,17648
485,Part_of,6745
486,Part_of,38878
487,Part_of,38878
488,Part_of,38878
489,Part_of,38878
490,Part_of,38878
491,Part_of,38878
492,Part_of,38878
493,Part_of,38878
494,Part_of,38878
495,Part_of,39352
496,Part_of,38878
497,Part_of,43206
498,Part_of,43206
499,Part_of,41019
500,Part_of,41019
501,Part_of,6745
502,Part_of,6745
503,Part_of,39352
504,Part_of,39352
505,Part_of,39352
506,Part_of,4537
507,Part_of,4537
508,Part_of,17647
509,Part_of,17646
510,Part_of,38876
511,Part_of,38876
512,Part_of,38876
513,Part_of,17646
514,Part_of,17646
515,Part_of,38900
516,Part_of,38876
517,Part_of,38876
518,Part_of,38831
519,Part_of,38831
520,Part_of,38831
521,Part_of,38831
522,Part_of,1986
523,Part_of,38831
524,Part_of,38831
525,Part_of,38831
526,Part_of,1986
527,Part_of,3790
528,Part_of,3790
529,Part_of,3790
530,Part_of,3790
531,Part_of,3791
532,Part_of,3791
533,Part_of,1986
534,Part_of,3790
535,Part_of,3791
536,Part_of,3791
537,Part_of,3791
538,Part_of,3792
539,Part_of,3791
540,Part_of,3792
541,Part_of,38831
542,Part_of,38831
543,Part_of,38831
544,Part_of,38831
545,Part_of,38831
546,Part_of,3789
547,Part_of,3789
548,Part_of,3789
549,Part_of,2760
550,Part_of,2760
551,Part_of,2760
552,Part_of,6822
553,Part_of,39463
554,Part_of,38831
555,Part_of,43080
556,Part_of,3711
557,Part_of,3711
558,Part_of,3713
559,Part_of,3713
560,Part_of,3713
561,Part_of,3711
562,Part_of,3712
563,Part_of,3711
564,Part_of,3712
565,Part_of,3711
566,Part_of,3711
567,Part_of,3711
568,Part_of,3711
569,Part_of,38831
570,Part_of,38831
571,Part_of,3712
572,Part_of,3714
573,Part_of,38831
574,Part_of,3710
575,Part_of,3710
576,Part_of,8350
577,Part_of,3710
578,Part_of,12212
579,Part_of,40700
580,Part_of,43080
581,Part_of,43080
582,Part_of,3809
583,Part_of,10897
584,Part_of,10898
585,Part_of,10897
586,Part_of,10898
587,Part_of,10898
588,Part_of,8350
589,Part_of,8350
590,Part_of,8350
591,Part_of,8350
592,Part_of,8350
593,Part_of,8350
594,Part_of,3809
595,Part_of,3809
596,Part_of,3809
597,Part_of,1979
598,Part_of,8350
599,Part_of,10897
600,Part_of,11968
601,Part_of,10897
602,Part_of,10897
603,Part_of,10893
604,Part_of,10893
605,Part_of,10899
606,Part_of,10897
607,Part_of,10894
608,Part_of,10894
609,Part_of,10899
610,Part_of,10893
611,Part_of,10894
612,Part_of,10901
613,Part_of,10894
614,Part_of,10894
615,Part_of,10894
616,Part_of,10893
617,Part_of,10893
618,Part_of,10894
619,Part_of,10894
620,Part_of,10894
621,Part_of,10894
622,Part_of,10894
623,Part_of,10894
624,Part_of,10904
625,Part_of,1978
626,Part_of,1978
627,Part_of,10901
628,Part_of,10904
629,Part_of,10900
630,Part_of,10900
631,Part_of,1978
632,Part_of,1978
633,Part_of,10904
634,Part_of,10895
635,Part_of,10900
636,Part_of,38831
637,Part_of,10896
638,Part_of,1978
639,Part_of,12212
640,Part_of,8348
641,Part_of,8348
642,Part_of,8348
643,Part_of,1978
644,Part_of,8348
645,Part_of,8349
646,Part_of,1978
647,Part_of,1978
648,Part_of,1979
649,Part_of,1979
650,Part_of,1979
651,Part_of,3812
652,Part_of,3812
653,Part_of,8349
654,Part_of,3815
655,Part_of,8349
656,Part_of,12384
657,Part_of,40700
658,Part_of,8349
659,Part_of,38831
660,Part_of,8349
661,Part_of,40700
662,Part_of,38929
663,Part_of,12047
664,Part_of,39191
665,Part_of,38929
666,Part_of,38929
667,Part_of,38929
668,Part_of,12047
669,Part_of,12047
670,Part_of,12047
671,Part_of,12047
672,Part_of,12047
673,Part_of,3768
674,Part_of,3769
675,Part_of,31005
676,Part_of,12047
677,Part_of,39191
678,Part_of,39191
679,Part_of,12046
680,Part_of,3840
681,Part_of,3840
682,Part_of,12046
683,Part_of,42889
684,Part_of,3768
685,Part_of,3768
686,Part_of,39204
687,Part_of,39467
688,Part_of,42889
689,Part_of,11919
690,Part_of,3820
691,Part_of,12047
692,Part_of,3823
693,Part_of,3769
694,Part_of,3770
695,Part_of,3770
696,Part_of,3817
697,Part_of,3770
698,Part_of,3770
699,Part_of,3817
700,Part_of,3821
701,Part_of,3822
702,Part_of,4864
703,Part_of,4864
704,Part_of,3821
705,Part_of,3821
706,Part_of,3816
707,Part_of,3706
708,Part_of,3827
709,Part_of,4864
710,Part_of,11901
711,Part_of,3816
712,Part_of,3816
713,Part_of,3816
714,Part_of,3816
715,Part_of,3820
716,Part_of,3820
717,Part_of,3820
718,Part_of,39204
719,Part_of,16334
720,Part_of,16334
721,Part_of,30974
722,Part_of,30974
723,Part_of,31004
724,Part_of,30977
725,Part_of,30977
726,Part_of,592
727,Part_of,16334
728,Part_of,584
729,Part_of,584
730,Part_of,39204
731,Part_of,11529
732,Part_of,18435
733,Part_of,11529
734,Part_of,11529
735,Part_of,11529
736,Part_of,18436
737,Part_of,18437
738,Part_of,18434
739,Part_of,11529
740,Part_of,1871
741,Part_of,1871
742,Part_of,592
743,Part_of,591
744,Part_of,1871
745,Part_of,30977
746,Part_of,30977
747,Part_of,30977
748,Part_of,591
749,Part_of,1873
750,Part_of,36186
751,Part_of,11909
752,Part_of,11529
753,Part_of,11909
754,Part_of,1871
755,Part_of,1872
756,Part_of,8846
757,Part_of,11909
758,Part_of,1872
759,Part_of,8853
760,Part_of,596
761,Part_of,6749
762,Part_of,8846
763,Part_of,11529
764,Part_of,11529
765,Part_of,8846
766,Part_of,18821
767,Part_of,8846
768,Part_of,1860
769,Part_of,1860
770,Part_of,1863
771,Part_of,1863
772,Part_of,1860
773,Part_of,1860
774,Part_of,1868
775,Part_of,591
776,Part_of,31004
777,Part_of,30978
778,Part_of,6749
779,Part_of,1860
780,Part_of,1860
781,Part_of,30974
782,Part_of,1860
783,Part_of,30978
784,Part_of,1860
785,Part_of,30978
786,Part_of,30978
787,Part_of,591
788,Part_of,1860
789,Part_of,1860
790,Part_of,30979
791,Part_of,30979
792,Part_of,30979
793,Part_of,30979
794,Part_of,30979
795,Part_of,30979
796,Part_of,30979
797,Part_of,30979
798,Part_of,30979
799,Part_of,6749
800,Part_of,1860
801,Part_of,30979
802,Part_of,30979
803,Part_of,1868
804,Part_of,1868
805,Part_of,30979
806,Part_of,30979
807,Part_of,30979
808,Part_of,30979
809,Part_of,1860
810,Part_of,30979
811,Part_of,30976
812,Part_of,2039
813,Part_of,38634
814,Part_of,6749
815,Part_of,1865
816,Part_of,1862
817,Part_of,30989
818,Part_of,6749
819,Part_of,5628
820,Part_of,6749
821,Part_of,1862
822,Part_of,30976
823,Part_of,30975
824,Part_of,6749
825,Part_of,6749
826,Part_of,30989
827,Part_of,30989
828,Part_of,30990
829,Part_of,6749
830,Part_of,6749
831,Part_of,30990
832,Part_of,30990
833,Part_of,1870
834,Part_of,30992
835,Part_of,30982
836,Part_of,586
837,Part_of,30982
838,Part_of,30982
839,Part_of,30988
840,Part_of,30987
841,Part_of,30984
842,Part_of,1862
843,Part_of,30985
844,Part_of,30984
845,Part_of,5628
846,Part_of,5628
847,Part_of,1870
848,Part_of,1870
849,Part_of,30984
850,Part_of,30985
851,Part_of,587
852,Part_of,587
853,Part_of,30984
854,Part_of,30979
855,Part_of,30979
856,Part_of,1870
857,Part_of,8845
858,Part_of,6749
859,Part_of,588
860,Part_of,3746
861,Part_of,590
862,Part_of,37891
863,Part_of,3746
864,Part_of,8845
865,Part_of,3745
866,Part_of,1870
867,Part_of,3745
868,Part_of,3706
869,Part_of,3706
870,Part_of,37891
871,Part_of,38634
872,Part_of,30984
873,Part_of,30984
874,Part_of,30984
875,Part_of,30979
876,Part_of,3753
877,Part_of,3753
878,Part_of,3754
879,Part_of,30978
880,Part_of,30999
881,Part_of,30999
882,Part_of,31000
883,Part_of,30982
884,Part_of,30989
885,Part_of,3754
886,Part_of,37891
887,Part_of,37891
888,Part_of,6749
889,Part_of,6749
890,Part_of,8848
891,Part_of,3748
892,Part_of,3745
893,Part_of,248
894,Part_of,3754
895,Part_of,3757
896,Part_of,3749
897,Part_of,8848
898,Part_of,8848
899,Part_of,37891
900,Part_of,3754
901,Part_of,3757
902,Part_of,8848
903,Part_of,37891
904,Part_of,1851
905,Part_of,3754
906,Part_of,3754
907,Part_of,6749
908,Part_of,6749
909,Part_of,248
910,Part_of,248
911,Part_of,8845
912,Part_of,3754
913,Part_of,3754
914,Part_of,1851
915,Part_of,3754
916,Part_of,1870
917,Part_of,1870
918,Part_of,5628
919,Part_of,5628
920,Part_of,5628
921,Part_of,29290
922,Part_of,29290
923,Part_of,5628
924,Part_of,5628
925,Part_of,1851
926,Part_of,3752
927,Part_of,8845
928,Part_of,8845
929,Part_of,37891
930,Part_of,37893
931,Part_of,37891
932,Part_of,30982
933,Part_of,30981
934,Part_of,30981
935,Part_of,29290
936,Part_of,3752
937,Part_of,248
938,Part_of,1851
939,Part_of,1851
940,Part_of,37891
941,Part_of,8849
942,Part_of,37893
943,Part_of,8845
944,Part_of,8845
945,Part_of,7794
946,Part_of,8848
947,Part_of,5628
948,Part_of,5628
949,Part_of,1851
950,Part_of,38341
951,Part_of,248
952,Part_of,5628
953,Part_of,5628
954,Part_of,5628
955,Part_of,5628
956,Part_of,5628
957,Part_of,248
958,Part_of,5628
959,Part_of,5628
960,Part_of,18823
961,Part_of,8849
962,Part_of,8848
963,Part_of,8848
964,Part_of,8849
965,Part_of,8849
966,Part_of,8845
967,Part_of,8849
968,Part_of,8845
969,Part_of,8851
970,Part_of,18280
971,Part_of,18274
972,Part_of,8848
973,Part_of,18428
974,Part_of,8845
975,Part_of,8845
976,Part_of,11178
977,Part_of,11178
978,Part_of,5628
979,Part_of,29290
980,Part_of,29291
981,Part_of,18279
982,Part_of,18279
983,Part_of,29290
984,Part_of,18279
985,Part_of,18277
986,Part_of,18278
987,Part_of,18278
988,Part_of,18279
