SeID,Length
523,1149.03
524,1073.08
525,1110.28
526,2755.39
527,82.56
528,124.5
529,88.39
530,114.22
531,89.94
532,103.74
533,0.12
534,117.38
535,103.05
536,120.45
537,58.05
538,109.07
539,50.53
540,72.26
541,147.82
542,194.72
543,824.05
544,100.02
545,909.38
546,84.32
547,15.72
548,69.03
549,309.25
550,143.93
551,94.82
552,304.72
553,819.2
554,1065.53
555,2042.05
556,48.36
557,130.57
558,164.54
559,58.89
560,62.13
561,53.32
562,37.16
563,56.87
564,254.25
565,5.76
566,64.63
567,58.1
568,37.04
569,355.8
570,257.51
571,148.98
572,328.57
573,1179.1
574,139.93
575,104.88
576,577.05
577,226.32
578,1576.49
579,2688.64
580,405.19
581,133.9
582,388.66
583,6.55
584,78.93
585,161.17
586,132.61
587,184.45
588,65.94
589,4.93
590,6.77
591,6.78
592,445.3
593,78.22
594,0.3
595,418.48
596,32.85
597,838.08
598,154.14
599,29.99
600,22.24
601,7.61
602,95.12
603,10.1
604,11.19
605,96.03
606,342.87
607,112.64
608,123.5
609,108.64
610,112.77
611,112.31
612,10.74
613,115.07
614,97.13
615,159.57
616,6.09
617,109.7
618,116.23
619,44.68
620,109.8
621,48.13
622,52.27
623,81.9
624,243.64
625,114.67
626,78.23
627,128.84
628,76.42
629,43.51
630,84.47
631,232.83
632,45.73
633,822.02
634,33.59
635,119.56
636,383.89
637,22.44
638,242.08
639,1948.43
640,53.98
641,128.33
642,133.44
643,14.45
644,47.01
645,616.73
646,94.69
647,181.45
648,26.74
649,129.06
650,12.38
651,0.01
652,125.99
653,330.07
654,1842.04
655,118.28
656,566.09
657,407.86
658,222.86
659,14.5
660,53.41
661,146.68
662,2844.72
663,3197.61
664,45.15
665,181.08
666,177.22
667,37.1
668,54.57
669,78.12
670,43.01
671,151.32
672,125.52
673,462.45
674,575.68
675,1844.94
676,461.96
677,13.36
678,397.45
679,170.15
680,4.88
681,4.3
682,211.58
683,368.22
684,0.02
685,121.92
686,1544.99
687,394.59
688,87.13
689,316.39
690,428.95
691,616.33
692,76.35
693,104.93
694,69.94
695,77.38
696,44.45
697,9.38
698,57.18
699,20.56
700,29.44
701,49.78
702,168.04
703,185.77
704,78.48
705,93.99
706,218.42
707,3032.97
708,7831.72
709,0.05
710,1131.5
711,157.97
712,18.05
713,81.45
714,190.5
715,115.83
716,84.92
717,106.04
718,1383.32
719,898.72
720,162.88
721,1168.46
722,2857.66
723,0.49
724,352.08
725,509.92
726,2918.3
727,104.75
728,1960.54
729,135.57
730,7725.65
731,17.79
732,36.34
733,17.92
734,18.08
735,86.2
736,9.04
737,8.79
738,18.62
739,76.09
740,180.22
741,104.69
742,369.3
743,185.83
744,103.38
745,338.17
746,240.89
747,369.25
748,362.23
749,42.64
750,47.25
751,29.48
752,44.79
753,77.67
754,7.74
755,13.86
756,587.85
757,92.69
758,65.15
759,58.18
760,5130.16
761,369.14
762,66.09
763,44.49
764,166.44
765,66.67
766,185.08
767,220.02
768,138.72
769,76.57
770,40.05
771,36.73
772,85.07
773,80.97
774,185.89
775,169.9
776,1506.26
777,183.44
778,245.6
779,51.21
780,35.47
781,149.72
782,22.53
783,10.4
784,64.88
785,277.65
786,43.43
787,235.88
788,103.86
789,104.34
790,267.68
791,37.62
792,114.31
793,36.54
794,80.73
795,14.83
796,23.71
797,98.97
798,39.73
799,90.48
800,86.39
801,98.81
802,38.3
803,170.19
804,437.56
805,95
806,35.21
807,93.48
808,38.33
809,71.55
810,91.93
811,146.45
812,5386.65
813,2455.79
814,273.28
815,45.85
816,108.62
817,17.72
818,4.12
819,351.33
820,65.36
821,55.43
822,56.39
823,38.24
824,59.92
825,75.5
826,162.66
827,35.47
828,15.39
829,64.25
830,137.79
831,154.79
832,23.96
833,217.38
834,39.47
835,23.38
836,245.56
837,390.27
838,12.88
839,17.16
840,27.85
841,97.08
842,105.09
843,40.63
844,97.77
845,477.87
846,426.16
847,38.02
848,50.01
849,91.37
850,37.14
851,13.24
852,174.46
853,90.37
854,28.29
855,86.95
856,37.61
857,20.17
858,157.1
859,37.04
860,701.66
861,269.63
862,37.02
863,29.21
864,181.48
865,37.69
866,249.58
867,829.95
868,0.04
869,1215.13
870,94.16
871,0
872,26.83
873,33.12
874,33.7
875,23.3
876,72.49
877,2.76
878,69.95
879,27.37
880,36.43
881,39.26
882,193.76
883,193.97
884,57.82
885,117.71
886,56.09
887,48.67
888,21.33
889,324.33
890,30.53
891,9.2
892,34.49
893,108.81
894,51.18
895,24.74
896,898.76
897,9.14
898,124.65
899,8.45
900,45.87
901,66.09
902,205.51
903,122.94
904,66.03
905,28.4
906,46.37
907,103.8
908,313.67
909,39.11
910,290.94
911,94.4
912,44.23
913,62.59
914,236.19
915,78.67
916,178.24
917,17.75
918,417.78
919,42.68
920,415.14
921,416.24
922,394.05
923,264.61
924,418.02
925,38.37
926,29.74
927,63.81
928,17.53
929,186.91
930,62.89
931,57.17
932,32
933,38.4
934,55.31
935,1181.3
936,32.07
937,105.39
938,109.06
939,52.36
940,43.51
941,103.16
942,153.99
943,19.15
944,100.95
945,904.36
946,125.85
947,45.72
948,212.92
949,4.02
950,162.02
951,215.49
952,73.72
953,213.1
954,49.65
955,58.76
956,213.28
957,321.81
958,7.47
959,195.9
960,663.94
961,110.56
962,14.96
963,115.17
964,112.97
965,114.23
966,14.77
967,113.41
968,113.68
969,184.92
970,205
971,41.2
972,119.33
973,71.86
974,17.82
975,118.18
976,44.68
977,123.73
978,70.94
979,88.65
980,209.41
981,40.8
982,33.35
983,229.77
984,24.8
985,57.25
986,35.16
987,32.99
988,39.96
989,36.55
990,398.72
991,36.91
992,29.72
993,382.56
994,45.66
995,63.17
996,72.17
997,57.58
998,15.17
999,386.8
1000,744.56
1001,347.46
1002,325.03
1003,69.78
1004,28.31
1005,18.46
1006,165.22
1007,49.4
1008,48.29
1009,174.91
1010,3.56
1011,29.7
1012,332.31
